estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,250,0.05,40,75.0,0.18578501915063916
calibrated-dr-cpo,250,0.05,41,75.0,0.20150657856978788
calibrated-dr-cpo,250,0.05,42,100.0,0.21815751513913198
calibrated-dr-cpo,250,0.05,43,75.0,0.16636995958497106
calibrated-dr-cpo,250,0.05,44,100.0,0.20891610652394957
calibrated-dr-cpo,250,0.05,45,75.0,0.1268839840173608
calibrated-dr-cpo,250,0.05,46,100.0,0.18595560309373949
calibrated-dr-cpo,250,0.05,47,75.0,0.23645744724993323
calibrated-dr-cpo,250,0.05,48,100.0,0.23731299326944244
calibrated-dr-cpo,250,0.05,49,100.0,0.31403238247772386
calibrated-dr-cpo,250,0.1,0,75.0,0.21352563963075644
calibrated-dr-cpo,250,0.1,1,75.0,0.1350181626375005
calibrated-dr-cpo,250,0.1,2,75.0,0.25125571591333196
calibrated-dr-cpo,250,0.1,3,75.0,0.25888027964699845
calibrated-dr-cpo,250,0.1,4,75.0,0.15878661640767486
calibrated-dr-cpo,250,0.1,5,75.0,0.13813458942769813
calibrated-dr-cpo,250,0.1,6,75.0,0.1700258566751566
calibrated-dr-cpo,250,0.1,7,75.0,0.11283682854878546
calibrated-dr-cpo,250,0.1,8,75.0,0.1586253820770183
calibrated-dr-cpo,250,0.1,9,75.0,0.1816646935039603
calibrated-dr-cpo,250,0.1,10,75.0,0.16706492383360344
calibrated-dr-cpo,250,0.1,11,100.0,0.1950886064684655
calibrated-dr-cpo,250,0.1,12,75.0,0.16209812996045592
calibrated-dr-cpo,250,0.1,13,75.0,0.1553932634701456
calibrated-dr-cpo,250,0.1,14,75.0,0.17321222462381122
calibrated-dr-cpo,250,0.1,15,75.0,0.1487486331057748
calibrated-dr-cpo,250,0.1,16,75.0,0.1287997852573215
calibrated-dr-cpo,250,0.1,17,75.0,0.16614499110412562
calibrated-dr-cpo,250,0.1,18,75.0,0.21062257317036273
calibrated-dr-cpo,250,0.1,19,75.0,0.11773163688481031
calibrated-dr-cpo,250,0.1,20,75.0,0.19179922684350809
calibrated-dr-cpo,250,0.1,21,100.0,0.28945631221995094
calibrated-dr-cpo,250,0.1,22,75.0,0.15357969126341503
calibrated-dr-cpo,250,0.1,23,75.0,0.14436293221611418
calibrated-dr-cpo,250,0.1,24,100.0,0.2106557290170243
calibrated-dr-cpo,250,0.1,25,75.0,0.128424774573202
calibrated-dr-cpo,250,0.1,26,100.0,0.2542276327065094
calibrated-dr-cpo,250,0.1,27,75.0,0.17321486558149501
calibrated-dr-cpo,250,0.1,28,75.0,0.183562187805911
calibrated-dr-cpo,250,0.1,29,100.0,0.19164506275842255
calibrated-dr-cpo,250,0.1,30,75.0,0.13831955510675623
calibrated-dr-cpo,250,0.1,31,75.0,0.15121979511977504
calibrated-dr-cpo,250,0.1,32,75.0,0.15546520215036658
calibrated-dr-cpo,250,0.1,33,75.0,0.16058321184673557
calibrated-dr-cpo,250,0.1,34,75.0,0.28541824153350304
calibrated-dr-cpo,250,0.1,35,75.0,0.16051896859092193
calibrated-dr-cpo,250,0.1,36,75.0,0.2347402011398546
calibrated-dr-cpo,250,0.1,37,75.0,0.21627856853752353
calibrated-dr-cpo,250,0.1,38,75.0,0.1465871937869187
calibrated-dr-cpo,250,0.1,39,75.0,0.17153191904336285
calibrated-dr-cpo,250,0.1,40,75.0,0.18578501915063916
calibrated-dr-cpo,250,0.1,41,75.0,0.20150657856978788
calibrated-dr-cpo,250,0.1,42,100.0,0.21815751513913198
calibrated-dr-cpo,250,0.1,43,75.0,0.16636995958497106
calibrated-dr-cpo,250,0.1,44,100.0,0.20891610652394957
calibrated-dr-cpo,250,0.1,45,75.0,0.1268839840173608
calibrated-dr-cpo,250,0.1,46,100.0,0.18595560309373949
calibrated-dr-cpo,250,0.1,47,75.0,0.23645744724993323
calibrated-dr-cpo,250,0.1,48,100.0,0.23731299326944244
calibrated-dr-cpo,250,0.1,49,100.0,0.31403238247772386
calibrated-dr-cpo,250,0.25,0,75.0,0.21352563963075644
calibrated-dr-cpo,250,0.25,1,75.0,0.1350181626375005
calibrated-dr-cpo,250,0.25,2,75.0,0.25125571591333196
calibrated-dr-cpo,250,0.25,3,75.0,0.25888027964699845
calibrated-dr-cpo,250,0.25,4,75.0,0.15878661640767486
calibrated-dr-cpo,250,0.25,5,75.0,0.13813458942769813
calibrated-dr-cpo,250,0.25,6,75.0,0.1700258566751566
calibrated-dr-cpo,250,0.25,7,75.0,0.11283682854878546
calibrated-dr-cpo,250,0.25,8,75.0,0.1586253820770183
calibrated-dr-cpo,250,0.25,9,75.0,0.1816646935039603
calibrated-dr-cpo,250,0.25,10,75.0,0.16706492383360344
calibrated-dr-cpo,250,0.25,11,100.0,0.1950886064684655
calibrated-dr-cpo,250,0.25,12,75.0,0.16209812996045592
calibrated-dr-cpo,250,0.25,13,75.0,0.1553932634701456
calibrated-dr-cpo,250,0.25,14,75.0,0.17321222462381122
calibrated-dr-cpo,250,0.25,15,75.0,0.1487486331057748
calibrated-dr-cpo,250,0.25,16,75.0,0.1287997852573215
calibrated-dr-cpo,250,0.25,17,75.0,0.16614499110412562
calibrated-dr-cpo,250,0.25,18,75.0,0.21062257317036273
calibrated-dr-cpo,250,0.25,19,75.0,0.11773163688481031
calibrated-dr-cpo,250,0.25,20,75.0,0.19179922684350809
calibrated-dr-cpo,250,0.25,21,100.0,0.28945631221995094
calibrated-dr-cpo,250,0.25,22,75.0,0.15357969126341503
calibrated-dr-cpo,250,0.25,23,75.0,0.14436293221611418
calibrated-dr-cpo,250,0.25,24,100.0,0.2106557290170243
calibrated-dr-cpo,250,0.25,25,75.0,0.128424774573202
calibrated-dr-cpo,250,0.25,26,100.0,0.2542276327065094
calibrated-dr-cpo,250,0.25,27,75.0,0.17321486558149501
calibrated-dr-cpo,250,0.25,28,75.0,0.183562187805911
calibrated-dr-cpo,250,0.25,29,100.0,0.19164506275842255
calibrated-dr-cpo,250,0.25,30,75.0,0.13831955510675623
calibrated-dr-cpo,250,0.25,31,75.0,0.15121979511977504
calibrated-dr-cpo,250,0.25,32,75.0,0.15546520215036658
calibrated-dr-cpo,250,0.25,33,75.0,0.16058321184673557
calibrated-dr-cpo,250,0.25,34,75.0,0.28541824153350304
calibrated-dr-cpo,250,0.25,35,75.0,0.16051896859092193
calibrated-dr-cpo,250,0.25,36,75.0,0.2347402011398546
calibrated-dr-cpo,250,0.25,37,75.0,0.21627856853752353
calibrated-dr-cpo,250,0.25,38,75.0,0.1465871937869187
calibrated-dr-cpo,250,0.25,39,75.0,0.17153191904336285
calibrated-dr-cpo,250,0.25,40,75.0,0.18578501915063916
calibrated-dr-cpo,250,0.25,41,75.0,0.20150657856978788
calibrated-dr-cpo,250,0.25,42,100.0,0.21815751513913198
calibrated-dr-cpo,250,0.25,43,75.0,0.16636995958497106
calibrated-dr-cpo,250,0.25,44,100.0,0.20891610652394957
calibrated-dr-cpo,250,0.25,45,75.0,0.1268839840173608
calibrated-dr-cpo,250,0.25,46,100.0,0.18595560309373949
calibrated-dr-cpo,250,0.25,47,75.0,0.23645744724993323
calibrated-dr-cpo,250,0.25,48,100.0,0.23731299326944244
calibrated-dr-cpo,250,0.25,49,100.0,0.31403238247772386
calibrated-dr-cpo,250,0.5,0,75.0,0.21352563963075644
calibrated-dr-cpo,250,0.5,1,75.0,0.1350181626375005
calibrated-dr-cpo,250,0.5,2,75.0,0.25125571591333196
calibrated-dr-cpo,250,0.5,3,75.0,0.25888027964699845
calibrated-dr-cpo,250,0.5,4,75.0,0.15878661640767486
calibrated-dr-cpo,250,0.5,5,75.0,0.13813458942769813
calibrated-dr-cpo,250,0.5,6,75.0,0.1700258566751566
calibrated-dr-cpo,250,0.5,7,75.0,0.11283682854878546
calibrated-dr-cpo,250,0.5,8,75.0,0.1586253820770183
calibrated-dr-cpo,250,0.5,9,75.0,0.1816646935039603
calibrated-dr-cpo,250,0.5,10,75.0,0.16706492383360344
calibrated-dr-cpo,250,0.5,11,100.0,0.1950886064684655
calibrated-dr-cpo,250,0.5,12,75.0,0.16209812996045592
calibrated-dr-cpo,250,0.5,13,75.0,0.1553932634701456
calibrated-dr-cpo,250,0.5,14,75.0,0.17321222462381122
calibrated-dr-cpo,250,0.5,15,75.0,0.1487486331057748
calibrated-dr-cpo,250,0.5,16,75.0,0.1287997852573215
calibrated-dr-cpo,250,0.5,17,75.0,0.16614499110412562
calibrated-dr-cpo,250,0.5,18,75.0,0.21062257317036273
calibrated-dr-cpo,250,0.5,19,75.0,0.11773163688481031
calibrated-dr-cpo,250,0.5,20,75.0,0.19179922684350809
calibrated-dr-cpo,250,0.5,21,100.0,0.28945631221995094
calibrated-dr-cpo,250,0.5,22,75.0,0.15357969126341503
calibrated-dr-cpo,250,0.5,23,75.0,0.14436293221611418
calibrated-dr-cpo,250,0.5,24,100.0,0.2106557290170243
calibrated-dr-cpo,250,0.5,25,75.0,0.128424774573202
calibrated-dr-cpo,250,0.5,26,100.0,0.2542276327065094
calibrated-dr-cpo,250,0.5,27,75.0,0.17321486558149501
calibrated-dr-cpo,250,0.5,28,75.0,0.183562187805911
calibrated-dr-cpo,250,0.5,29,100.0,0.19164506275842255
calibrated-dr-cpo,250,0.5,30,75.0,0.13831955510675623
calibrated-dr-cpo,250,0.5,31,75.0,0.15121979511977504
calibrated-dr-cpo,250,0.5,32,75.0,0.15546520215036658
calibrated-dr-cpo,250,0.5,33,75.0,0.16058321184673557
