estimator,regime_n,regime_cov,seed,coverage,ci_width
calibrated-dr-cpo,250,0.05,0,75.0,0.1417536596160398
calibrated-dr-cpo,250,0.05,1,75.0,0.3573011856581352
calibrated-dr-cpo,250,0.05,2,75.0,0.7745939782819241
calibrated-dr-cpo,250,0.05,3,100.0,1.8148227610788281
calibrated-dr-cpo,250,0.05,4,100.0,0.5326245730032639
calibrated-dr-cpo,250,0.05,5,75.0,1.0219609018947993
calibrated-dr-cpo,250,0.05,6,75.0,0.7299278805953111
calibrated-dr-cpo,250,0.05,7,100.0,0.6701838076230955
calibrated-dr-cpo,250,0.05,8,100.0,1.117003142231764
calibrated-dr-cpo,250,0.05,9,75.0,0.48251801227685553
calibrated-dr-cpo,250,0.05,10,75.0,0.29992868083337965
calibrated-dr-cpo,250,0.05,11,100.0,1.4629537938822093
calibrated-dr-cpo,250,0.05,12,100.0,2.2860584541024784
calibrated-dr-cpo,250,0.05,13,75.0,0.8947413115731976
calibrated-dr-cpo,250,0.05,14,75.0,0.205566225260359
calibrated-dr-cpo,250,0.05,15,100.0,1.415827197606463
calibrated-dr-cpo,250,0.05,16,100.0,1.5058718112696654
calibrated-dr-cpo,250,0.05,17,75.0,0.7846555072656304
calibrated-dr-cpo,250,0.05,18,100.0,0.8245053028640692
calibrated-dr-cpo,250,0.05,19,100.0,1.1642737742980427
calibrated-dr-cpo,250,0.05,20,100.0,0.53317536648264
calibrated-dr-cpo,250,0.05,21,75.0,0.6410146624604602
calibrated-dr-cpo,250,0.05,22,100.0,1.1002322992440317
calibrated-dr-cpo,250,0.05,23,100.0,0.6236061211936759
calibrated-dr-cpo,250,0.05,24,100.0,2.0426646138194187
calibrated-dr-cpo,250,0.05,25,100.0,1.0610587373773812
calibrated-dr-cpo,250,0.05,26,100.0,1.12333744266961
calibrated-dr-cpo,250,0.05,27,100.0,0.4712800469952195
calibrated-dr-cpo,250,0.05,28,100.0,1.7943352875588887
calibrated-dr-cpo,250,0.05,29,75.0,1.0459144474190967
calibrated-dr-cpo,250,0.05,30,75.0,1.262931138763308
calibrated-dr-cpo,250,0.05,31,100.0,0.6373137508308313
calibrated-dr-cpo,250,0.05,32,75.0,0.568176934256825
calibrated-dr-cpo,250,0.05,33,100.0,1.3671030333675613
calibrated-dr-cpo,250,0.05,34,100.0,1.7148587137919473
calibrated-dr-cpo,250,0.05,35,100.0,0.9472616874060447
calibrated-dr-cpo,250,0.05,36,100.0,1.7137620716374784
calibrated-dr-cpo,250,0.05,37,100.0,2.3030497694716905
calibrated-dr-cpo,250,0.05,38,100.0,0.9871818171511302
calibrated-dr-cpo,250,0.05,39,75.0,0.6024389629293776
calibrated-dr-cpo,250,0.05,40,100.0,1.2230080368655887
calibrated-dr-cpo,250,0.05,41,100.0,0.9931795746533831
calibrated-dr-cpo,250,0.05,42,75.0,0.7788978497773716
calibrated-dr-cpo,250,0.05,43,100.0,0.7972556306713747
calibrated-dr-cpo,250,0.05,44,100.0,1.0173799154294052
calibrated-dr-cpo,250,0.05,45,100.0,0.8388928222490468
calibrated-dr-cpo,250,0.05,46,100.0,1.0266651913413494
calibrated-dr-cpo,250,0.05,47,100.0,1.0620887927938765
calibrated-dr-cpo,250,0.05,48,100.0,1.0950599060492934
calibrated-dr-cpo,250,0.05,49,0.0,0.11427666087476729
calibrated-dr-cpo,250,0.1,0,100.0,0.7479471019088633
calibrated-dr-cpo,250,0.1,1,75.0,0.38092463621689576
calibrated-dr-cpo,250,0.1,2,100.0,0.4400264881863682
calibrated-dr-cpo,250,0.1,3,100.0,1.8061552011949784
calibrated-dr-cpo,250,0.1,4,100.0,0.7983522760634854
calibrated-dr-cpo,250,0.1,5,75.0,0.6159678033755693
calibrated-dr-cpo,250,0.1,6,75.0,0.9302215007216139
calibrated-dr-cpo,250,0.1,7,100.0,1.2250932353579806
calibrated-dr-cpo,250,0.1,8,100.0,1.0924365937111769
calibrated-dr-cpo,250,0.1,9,100.0,0.7091802306635877
calibrated-dr-cpo,250,0.1,10,100.0,1.0277639156589273
calibrated-dr-cpo,250,0.1,11,100.0,1.0938143682427097
calibrated-dr-cpo,250,0.1,12,100.0,1.0111014688423272
calibrated-dr-cpo,250,0.1,13,100.0,0.7446266938481059
calibrated-dr-cpo,250,0.1,14,100.0,0.33495302418003464
calibrated-dr-cpo,250,0.1,15,100.0,1.255977404688478
calibrated-dr-cpo,250,0.1,16,75.0,0.5992072733276953
calibrated-dr-cpo,250,0.1,17,75.0,0.3687363241958598
calibrated-dr-cpo,250,0.1,18,100.0,0.7063539792086805
calibrated-dr-cpo,250,0.1,19,75.0,0.7380723288898853
calibrated-dr-cpo,250,0.1,20,75.0,0.3847639556633337
calibrated-dr-cpo,250,0.1,21,75.0,0.8325996222000265
calibrated-dr-cpo,250,0.1,22,100.0,0.6412439448501945
calibrated-dr-cpo,250,0.1,23,100.0,0.7946278052371663
calibrated-dr-cpo,250,0.1,24,100.0,0.8458270711681392
calibrated-dr-cpo,250,0.1,25,100.0,1.3142682583926155
calibrated-dr-cpo,250,0.1,26,75.0,0.4242327897089039
calibrated-dr-cpo,250,0.1,27,100.0,0.42226804696682163
calibrated-dr-cpo,250,0.1,28,100.0,0.6701781026924681
calibrated-dr-cpo,250,0.1,29,75.0,0.5006802775101935
calibrated-dr-cpo,250,0.1,30,75.0,0.4499477355954967
calibrated-dr-cpo,250,0.1,31,100.0,0.7247313567091535
calibrated-dr-cpo,250,0.1,32,75.0,0.1776886448899972
calibrated-dr-cpo,250,0.1,33,75.0,0.4740711039108859
